year;quarter;male_population;female_population;number_of_unemployed_population;population_mortality_rate;average_labor_payment;crime_IT_rate;users_attack;inflation_rate;standard_of_living;population_digitization_level;number_of_companies_in_the_information_technology_sector;number_of_population_educated_in_IT;number_of_known_hacking_communities;number_of_investments_in_cybersecurity_sector;number_of_crimes_in_the_field_of_information_security
2010;I;65.734;77.166;3.061938;2028516;19485;34891;16;7.22;89.8;0.45;20152;6668;97;1300000000;43872
2010;II;65.734;77.166;3.335706;2028516;20809;38954;18;5.92;89.6;0.4775;23812;6832;102;1450000000;45812
2010;III;65.734;77.166;3.648183;2028516;21031;40582;20;6.15;91.1;0.4785;26125;7124;103;1600000000;50248
2010;IV;65.734;77.166;3.276801;2028516;23491;45942;22;8.11;91.4;0.4825;28512;7621;106;1750000000;48211
2011;I;65.734;77.166;3.233604;1925720;21354;48853;25;9.5;92.3;0.51;30215;7852;107;1900000000;51824
2011;II;65.734;77.166;3.341316;1925720;23154;54291;28;9.34;92.4;0.5375;33581;8242;110;2050000000;55980
2011;III;65.734;77.166;3.826581;1925720;23352;57120;31;8.12;92.7;0.545;36125;8532;113;2200000000;56043
2011;IV;65.734;77.166;3.907365;1925720;26905;59012;34;7.02;93.5;0.5525;37152;8823;116;2350000000;59128
2012;I;65.78;77.22;3.607791;1906335;24407;69124;38;3.87;94.2;0.56;38142;9102;118;2450000000;62818
2012;II;65.78;77.22;4.284918;1906335;26547;92582;42;3.83;94.5;0.5675;41582;9320;120;2600000000;66824
2012;III;65.78;77.22;3.229677;1906335;26127;91854;47;6.04;97.8;0.575;44588;9523;123;2750000000;73129
2012;IV;65.78;77.22;3.347487;1906335;30233;101452;52;6.53;92.1;0.5825;48125;10423;125;2900000000;76512
2013;I;65.918;77.382;3.204993;1871809;27339;108642;58;7.12;98.4;0.59;52591;10142;128;3050000000;79123
2013;II;65.918;77.382;3.629109;1871809;30245;118842;64;7.16;98.1;0.5975;56921;11742;130;3200000000;82018
2013;III;65.918;77.382;3.921951;1871809;29578;130252;71;6.36;99.7;0.605;58124;11823;133;3300000000;83942
2013;IV;65.918;77.382;3.547764;1871809;33269;150583;79;6.39;100.1;0.6125;71525;13872;135;3400000000;92813
2014;I;66.102;77.598;3.400221;1912347;30057;157812;88;6.72;95.8;0.62;74246;14131;138;3400000000;98523
2014;II;66.102;77.598;3.52308;1912347;32963;164292;98;7.57;100.8;0.6275;76243;14825;140;3550000000;94824
2014;III;66.102;77.598;3.196017;1912347;31730;185231;109;7.68;101.8;0.635;79144;15252;143;3700000000;95724
2014;IV;66.102;77.598;3.22575;1912347;35685;194123;121;9.24;96.5;0.6425;82545;15400;145;3850000000;101122
2015;I;67.298;79.002;3.166845;1908541;31566;198412;134;16.2;100.1;0.65;85653;16540;148;3950000000;109752
2015;II;67.298;79.002;3.800775;1908541;34703;214527;149;15.56;97.4;0.6575;87925;16892;150;4100000000;107412
2015;III;67.298;79.002;2.745534;1908541;32983;227582;166;15.36;94.4;0.665;92551;18442;153;4200000000;114723
2015;IV;67.298;79.002;2.75451;1908541;36692;241782;184;14.83;99.1;0.6725;95652;18262;155;4350000000;116490
2016;I;67.39;79.11;2.98452;1891015;34000;251275;205;8.36;97.4;0.68;101523;19742;158;4450000000;123841
2016;II;67.39;79.11;2.702337;1891015;37404;271349;227;7.34;94.8;0.681;107524;20432;160;4600000000;130145
2016;III;67.39;79.11;3.491664;1891015;35744;269252;253;6.82;96.2;0.685;110252;21824;163;4750000000;126142
2016;IV;67.39;79.11;3.316071;1891015;39824;294124;281;6.08;94.4;0.7025;118442;23982;165;4900000000;134182
2017;I;67.528;79.272;3.134868;1826125;35983;305123;312;4.62;100.1;0.71;124925;24182;168;4900000000;138274
2017;II;67.528;79.272;3.159552;1826125;40103;312525;320;4.19;99.3;0.711;130521;24977;170;5050000000;146291
2017;III;67.528;79.272;3.231921;1826125;37723;310425;343;3.37;99;0.724;138252;25802;173;5200000000;145723
2017;IV;67.528;79.272;3.475395;1826125;42797;324552;288;2.58;99.8;0.7325;143842;26692;175;5350000000;149224
2018;I;67.574;79.326;3.221262;1828910;40691;371465;287;2.26;101.3;0.74;147537;26902;178;5400000000;152812
2018;II;67.574;79.326;3.677916;1828910;44477;375124;270;2.38;100.7;0.745;150242;27892;180;5550000000;155823
2018;III;67.574;79.326;2.773584;1828910;41830;397451;316;2.99;100.8;0.755;151852;30172;183;5700000000;157241
2018;IV;67.574;79.326;2.789292;1828910;46850;401592;450;3.92;99.9;0.7625;155842;33912;185;5800000000;162943
2019;I;67.528;79.272;3.158991;1798307;43944;412953;503;5.17;98.1;0.77;158523;34812;188;5800000000;166241
2019;II;67.528;79.272;3.129258;1798307;48453;491234;508;4.99;100.8;0.7775;160512;37891;190;5950000000;164928
2019;III;67.528;79.272;2.797707;1798307;45726;462812;552;4.44;102.6;0.785;165423;35818;193;6100000000;171824
2019;IV;67.528;79.272;2.806683;1798307;51684;472412;419;3.45;103;0.7925;166824;36984;195;6200000000;170823
2020;I;67.482;79.218;2.892516;1679248;48390;518123;419;2.76;102.6;0.8;168523;38712;198;6250000000;168231
2020;II;67.482;79.218;3.391245;1679248;50784;530214;593;3.11;93.9;0.8075;170142;40481;200;6400000000;172852
2020;III;67.482;79.218;4.397118;1679248;49021;528164;592;3.54;96.1;0.815;176283;42928;203;6550000000;189241
2020;IV;67.482;79.218;4.490805;1679248;56044;533489;478;4.1;99.5;0.8;178700;43821;205;6650000000;174238
